MOL_01_000001,O=C(O)C(C=1)=Nc(c12)ncc3c2=NN(C3=O)c4ccccc4
MOL_01_000002,N1=CC(C)=c(c12)cc3c(c2C)=NC(=O)C(=C3C)CC(=O)NC(C(=O)O)CC(C)C
MOL_01_000003,CC1CCC(CC1)NC(=O)C(C)N(N=C2C)C(=O)C(C23C)=NN3c4ccccc4
MOL_01_000004,c1ccccc1C2C(=N\c(c3)ccc(c34)O4)\N(C(=O)CC2C(=O)NCC)Cc(c5)ccc(c56)OCO6
MOL_01_000005,n1cccc(c12)cccc2C(=O)N(C3)CCC(C34)CCc5c(O4)c6c(O6)cc5
MOL_01_000006,Nc1ccccc1C(N=2)=NC(C23)=c4c(=NC3=O)cc(cc4)-c5ccccc5
MOL_01_000007,c1ccccc1C(c2ccc3=O)C(Nc(c2n34)cnc4)c5ccccc5
MOL_01_000008,OCCC1CCN(CC1)c2ncnc(CC)c2CCc3ccc(C)nc3
MOL_01_000009,Nc1cccc(c1)N2C(=O)C(N)C2c(c(n3)N)cc(c34)cccc4
MOL_01_000010,Oc1cccc(O)c1C=2C(=O)N=c(c23)nc(nc3N)Nc4ccccc4
MOL_01_000011,CNC(=O)CCCN1C(=O)CCn(c12)cc(c2)-c3cn(C)c(c34)cccn4
MOL_01_000012,COCCNc1ccccc1C(=O)NC2CCCc(c23)n(cc3)-c4ccc(O)cc4O
MOL_01_000013,C=1N=Nc(c12)nc(=O)n3c2nc(n3)-c(c4)ccc(c45)OCO5
MOL_01_000014,Cc1cc(C)c(cc1O)-c2nnc(n23)CCC(=N3)Nc4cccc(C)c4C
MOL_01_000015,O=C(C)NCCn1c(=O)c(-c2ccccc2)cc(c13)ccc(c3)NCc4ccc(O)c(N)c4
MOL_01_000016,CCOC(=O)NCCC1CCc(c12)nc(nc2O)-c3cccc(c34)OCOC4
MOL_01_000017,c1cc(N)cc(c12)C(C(N)(O)O)(OC(C(=O)N2)CC)CCC3CC3
MOL_01_000018,CCCC(C1=O)C(=O)N(CC(C)C)c(n12)cc3c2cccc3
